palavra,dica
catapulta,Arma
judoca,Atleta
veneza,Cidade
vôlei de praia,Esporte
ameba,Biologia
periquito,Animal
tapioca,Comida
fogueira,Esquenta
pamonha,Comida
capivara,Animal
cafeteira,Eletrodoméstico
advogado,Profissão
alambique,Equipamento
alcachofra,Vegetal
algarismo,Matemática
almanaque,Folheto
almofariz,Utensílio
almoxarifado,Lugar
alquimia,Ciência
altivo,Digno
amendoim,Alimento
amnésia,Comorbidade
amplificar,Aumentar
ampulheta,Instrumento
ansioso,Sensação
aplaudir,Aprovar
ascensão,Subir
asterisco,Português
atlas,Ciência
balacobaco,Expressão
bandolim,Instrumento
barulhento,Sonoro
basquetebol,Esporte
batráquio,Biologia
beneficente,Atitude
berimbau,Instrumento
bicarbonato,Química
brusquidão,Caráter
bugiganga,Objeto
bumerangue,Vai e volta
burocracia,Administração
caatinga,Bioma
cacareco,Objeto
cacto,Vegetal
calibrado,Afiado
camuflagem,Disfarce
candelabro,Objeto
cassetete,Arma
catalisador,Química
catequizar,Religião
cérebro,Biologia
chamariz,Atrativo
cicatriz,Lesão
cleptomaníaco,Distúrbio
coincidência,Igualdade
companhia,Junto
condescender,Tolerar
consciente,Acordado
crepúsculo,Amanhecer
cronologia,Temporalidade
deglutir,Engolir
depredar,Vandalizar
destruído,Acabado
diapasão,Música
digladiar,Lutar
diretriz,Esboço
dobradiça,Objeto
ecossistema,Biologia
embaixador,Profissão
empecilho,Barreira
entretido,Divertido
entrevista,Televisão
envernizar,Marcenaria
enxaqueca,Dor
enxerido,Xereta
escangalhado,Danificado
escaravelho,Inseto
escombro,Ruína
esculacho,Bronca
esfirra,Alimento
espinafre,Alimento
esplendor,Brilho
estapafúrdio,Bizarro
estetoscópio,Medicina
excêntrico,Diferente
excepcional,Incrível
faniquito,Siricotico
fascículo,Capítulo
flexível,Elástico
frustrado,Malogrado
gargantilha,Enfeite
glândula,Biologia
glicerina,Química
glorioso,Vencedor
gnomo,Fantasia
grampeador,Objeto
hamster,Animal
helicóptero,Transporte
hemisfério,Geografia
herdeiro,Rico
hermético,Selado
hierarquia,Ordem
hieróglifo,Escrita
hipocrisia,Falsidade
idolatrada,Adorada
imbróglio,Confusão
inexorável,Inflexível
inflamado,Machucado
influência,Incentivo
insignificância,Pequeneza
interruptor,Objeto
invertebrado,Biologia
iogurte,Alimento
irascível,Raivoso
lantejoula,Enfeite
licenciado,Habilitado
losango,Matemática
madrasta,Família
magnético,Física
manteigueira,Objeto
marimbondo,Animal
mesclar,Misturar
meteorologia,Geografia
mexerica,Alimento
micróbio,Biologia
microfone,Objeto
microscópio,Instrumento
milionário,Rico
mordaz,Corrosivo
nebulizador,Objeto
oscilação,Mudança
paralisado,Imobilizado
pedágio,Passagem
pernóstico,Afetado
perturbar,Abalar
piripaque,Mal-estar
plissado,Dobras
pneumático,Física
pneumonia,Comorbidade
poliomielite,Doença
potiguar,Geografia
prescindir,Dispensar
presságio,Agouro
privilégio,Vantagem
prodígio,Habilidoso
prostração,Aiar
prurido,Coceira
psicanálise,Medicina
psicólogo,Profissão
quadriciclo,Transporte
quádruplo,Matemática
quinquilharia,Tranqueira
reciclar,Reutilizar
reflorescer,Biologia
reivindicar,Lutar
rescindir,Anular
retrógrado,Atrasado
retrovisor,Objeto
ritmo,Música
seborreia,Doença
sensatez,Equilíbrio
serelepe,Alegre
serpentina,Objeto
simplório,Característica
simulacro,Imitação
sincrônico.Junto
sobrevivente,Salvo
subsídio,Incentivo
supérfluo,Desnecessário
suscetível,Influenciável
termômetro,Instrumento
torácico,Medicina
travesseiro,Objeto
trilogia,Conjunto
universidade,Lugar
vangloriar,Enaltecer
vaporizador,objeto
ventilador,Objeto
xilindró,Preso
ziguezague,Curvo
ziquizira,Má-sorte
zodíaco,Astrologia
zumbido,Som
bananeira,Planta
axioma,Filosofia
azulejo,Objeto
balaústre,Objeto
blitz,Barreira
catarro,Secreção
coçar,Ato
crespo,Cabelo
cripta,Local
duplex,Apartamento
fúcsia,Cor
girar,Rodar
agnóstico,Descrente
haicai,Poesia
hera,Flora
hidrofóbico,Repelente
hífen,Gramática
icterícia,Doença
indigno,Condição
intrigante,Curioso
jazz,Arte
linfa,Biologia
marfim,objeto
ônix,Geologia
orquidário,Local
psique,Mente
quartzo,Geologia
quiz,Jogo
quorum,Participantes
tonto,Besta
topázio,Geologia
torpor,Prostração
valsa,Arte
vaporizar,Ato
vertiginoso,Rodopia
vicissitude,Alternâncias
vórtice,Turbilhão
xilofone,Instrumento
zircônio,Química
albatroz,Animal
alpaca,Animal
anchova,Animal
bacalhau,Animal
badejo,Animal
barracuda,Animal
beluga,Animal
cágado,Animal
chinchila,Animal
craca,Animal
dromedário,Animal
escaravelho,Animal
gerbo,Animal
gnu,Animal
gralha,Animal
hamster,Animal
jerboa,Animal
lêmure,Animal
lhama,Animal
lince,Animal
marreco,Animal
melro,Animal
ocapi,Animal
ornitorrinco,Animal
ouriço,Animal
pelicano,Animal
percevejo,Animal
pirilampo,Animal
quati,Animal
rouxinol,Animal
sanguessuga,Animal
surucucu,Animal
tapir,Animal
texugo,Animal
bisão,Animal
zebu,Animal
apicultor,Profissão
agrônomo,Profissão
auditor,Profissão
bartender,Profissão
cerimonialista,Profissão
chef,Profissão
coach,Ninguém gosta
desembargador,Profissão
despachante,Profissão
endocrinologista,Profissão
embaixador,Profissão
